rank,layer,neuron,score
503,12,4608,0.22065743913975885
504,13,3049,0.2206508037931619
505,17,745,0.22062756475079143
506,8,7912,0.22059254708292328
507,17,4696,0.2205743929721092
508,16,7985,0.22054394253716245
509,21,4747,0.22052660680580308
510,6,7919,0.2205172536476608
511,11,4637,0.22048858123457887
512,7,8995,0.22040188458669022
513,12,1167,0.2204014485906873
514,11,2473,0.22038397849317679
515,8,6783,0.22022073818219923
516,9,8239,0.22019112176315261
517,24,4367,0.2201558491471561
518,14,4017,0.220154274833112
519,14,5623,0.22012337275698177
520,16,2317,0.22009740021963514
521,2,6179,0.2200834579923406
522,9,2031,0.21999898735126777
523,5,274,0.21992060069020306
524,3,527,0.21990625625465557
525,12,7753,0.21989080453404747
526,15,4097,0.21985114131603278
527,12,6503,0.21981643997968253
528,5,7159,0.21977017964917328
529,16,4912,0.21973679838029456
530,16,3199,0.21962210843111532
531,9,6854,0.2195662772873911
532,18,4901,0.2194734235041703
533,13,6530,0.21946632232820887
534,13,7094,0.21943362790890925
535,12,533,0.21936860500201605
536,10,772,0.21929217772361553
537,6,5970,0.21924389268340136
538,18,8808,0.2192366009563964
539,15,7733,0.21921890959843354
540,11,1098,0.21917892052300764
541,5,4050,0.21916409202907697
542,8,7965,0.2191640472493293
543,12,3145,0.2190907396108847
544,18,841,0.21909056486551381
545,13,4270,0.21906465169523046
546,13,7485,0.21903396727239582
547,10,1628,0.21885918381050182
548,17,969,0.2188185945793163
549,4,969,0.2187786723392874
550,1,7205,0.21873121152264047
551,13,5049,0.2185931212787331
552,11,1120,0.21856820726401452
553,15,5110,0.21851508604348505
554,14,977,0.2184968330114453
555,17,7920,0.21835940878316765
556,8,2216,0.21834632270221305
557,22,7621,0.2183369399289362
558,9,1623,0.2183319571124128
559,12,5491,0.21829055955445686
560,13,6654,0.21828251931638457
561,19,8940,0.21809337792372077
562,15,2081,0.21807040274053727
563,9,6979,0.21805118335426793
564,8,2133,0.21802469200840582
565,22,8598,0.217870118164568
566,21,8835,0.21783642069999762
567,12,4437,0.21776315676124897
568,16,5690,0.21774072680784104
569,13,2285,0.21770898209840775
570,8,4187,0.21763776576870478
571,10,8931,0.2176337741203706
572,16,4352,0.21763019749691873
573,7,774,0.2176138561409687
574,0,3171,0.21753793550910824
575,11,8746,0.21752849431602064
576,12,1347,0.21751039055858046
577,10,1491,0.217365530064614
578,15,1259,0.2173140138077064
579,14,1332,0.21730648290600915
580,13,8592,0.21726414220210766
581,12,2368,0.2172287127952369
582,15,7677,0.21719803797699913
583,7,3698,0.21704914891997776
584,8,1792,0.21686418916117325
585,7,2225,0.21680846961900935
586,7,1057,0.2167903711209296
587,1,1637,0.2167333937099106
588,6,5330,0.21670031280190089
589,25,3356,0.21669962317430724
590,19,7336,0.2166644573559076
591,9,2649,0.21663999036082052
592,4,5950,0.21662269906163464
593,22,1704,0.21660074061590892
594,7,4269,0.2165380413637504
595,18,2417,0.21646039978735462
596,11,5641,0.2163635150525382
597,11,8193,0.2163457608980642
598,0,8806,0.2162896767622283
599,8,1510,0.21625127299179162
600,17,2156,0.216202794603226
601,25,8379,0.21610671720234464
602,11,8351,0.21608272528222683
603,14,2631,0.21606794048236744
604,7,7530,0.2159986679974252
605,8,6286,0.21595608253393173
606,2,5293,0.21574302837640777
607,3,6245,0.21572872061076975
608,12,3125,0.2157103456492525
609,13,5549,0.21570362144991204
610,1,502,0.21568744527072883
611,11,4974,0.2156826527499569
612,14,2850,0.2156451626309658
613,13,7482,0.21562724812067322
614,8,2161,0.21553498147554317
615,20,219,0.2155095791872052
616,3,5927,0.21542925739751553
617,21,9007,0.2154119396790794
618,16,1682,0.2153248891024953
619,12,763,0.2152775612874179
620,9,8625,0.21524857068266512
621,17,7315,0.21523108425956072
622,9,885,0.21515116054161593
623,12,3112,0.21514396068450756
624,3,8209,0.21507584376619213
625,10,5541,0.21507573353355552
626,13,201,0.21502740167881834
627,10,4723,0.2149266677648005
628,25,1626,0.21491081402208434
629,12,9081,0.21490351937760402
630,23,7361,0.21475102232341034
631,7,2035,0.21474626241494363
632,6,7540,0.21470461898757648
633,13,5889,0.21468125672149307
634,20,2346,0.21463891560985918
635,9,7992,0.2146299267413691
636,12,6949,0.21459745777579636
637,13,3531,0.21456072554078956
638,13,7998,0.2144986061715781
639,11,8562,0.21444583115361474
640,11,8175,0.21436535179042202
641,6,1651,0.21433314185149385
642,7,1873,0.21428484708089546
643,9,3852,0.21427791750208122
644,13,175,0.21426735978385822
645,23,6444,0.21426040773923985
646,14,1395,0.21417846058047002
647,8,5960,0.21411788562660444
648,24,409,0.214039816915347
649,20,3452,0.21399985765481908
650,16,6074,0.2139258194673796
651,11,6021,0.21391096023220252
652,9,3494,0.21390673530831336
653,21,8842,0.2138941932736778
654,8,5500,0.21388205651205008
655,14,536,0.21388106486312877
656,10,8056,0.2138790972685881
657,10,2759,0.21384410260304645
658,14,7848,0.2137850773529424
659,8,3002,0.21374251161765703
660,13,6142,0.21373333839724018
661,7,4705,0.21370289282090038
662,11,7737,0.2136159580319087
663,11,2393,0.21360432099889437
664,1,7370,0.21359314185186848
665,12,7404,0.21351652018762007
666,19,3290,0.21350937490115132
667,8,3213,0.21349430525428628
668,6,6517,0.21345653618287588
669,13,1367,0.21342870329611202
670,13,4681,0.21340567193604232
671,2,8148,0.21338828887183925
672,19,8154,0.21334307837848482
673,12,4474,0.21330272131540848
674,16,2427,0.21329805216860062
675,14,2184,0.21326076755946521
676,16,3593,0.21326046031200777
677,8,7271,0.213250814041313
678,23,1980,0.21322938703109515
679,8,7409,0.2132109704442571
680,11,6712,0.21319378587493057
681,6,3229,0.21316613589225486
682,13,632,0.21316381354041508
683,16,6001,0.21313613448975663
684,24,3958,0.21313245987782994
685,19,5311,0.2131201953261323
686,13,4067,0.21307035672699284
687,21,4875,0.21306801389836486
688,15,6507,0.21305619494634134
689,18,2497,0.21293226670143794
690,10,8346,0.21293026422691885
691,11,6132,0.21292274273255327
692,12,7575,0.21291205065613347
693,10,399,0.2128597394117393
694,12,455,0.21281304306483592
695,18,2887,0.21276506859213032
696,16,5653,0.21272302275255145
697,6,7520,0.21257383641537994
698,8,203,0.21257050200639896
699,17,8849,0.2125668171316624
700,10,2954,0.21255382313184643
701,10,7973,0.2124956213327731
702,22,8241,0.2124806494926151
703,7,2924,0.21246165182433233
704,13,4391,0.21241075951711422
705,23,7861,0.21240327145078278
706,17,214,0.2123812541752896
707,0,7652,0.21235893345825765
708,14,3654,0.21233920901924483
709,12,7719,0.21231292205721128
710,19,8189,0.2123007076055415
711,24,5753,0.21228839275075106
712,13,8027,0.21228734190934426
713,0,7781,0.21228430207405652
714,14,139,0.21224149438353387
715,3,4160,0.21222909009177918
716,10,283,0.21222693570313703
717,16,5027,0.21222622210728878
718,6,7747,0.21221234617021117
719,12,6120,0.21218290827544256
720,13,2119,0.21215248686675328
721,21,9029,0.21212295476821066
722,11,6478,0.212117352032078
723,8,974,0.21208273060967775
724,14,1051,0.2120718668484655
725,11,6164,0.2120688041259085
726,2,9093,0.21206781896889335
727,8,417,0.2120567054814522
728,6,5666,0.21201421425334688
729,10,1581,0.21198887234593164
730,8,9190,0.21195025999531128
731,0,6151,0.21193568529190335
732,23,4654,0.21191980406849234
733,0,4524,0.21189407045330474
734,14,5659,0.21185950706085535
735,18,7812,0.21182676515812954
736,8,908,0.211795516409433
737,7,8490,0.21171546924228338
738,21,3011,0.21169568567513997
739,16,2855,0.2116723835227818
740,2,5255,0.21165821295667808
741,13,8972,0.21162656131076304
742,8,1458,0.21160303872869063
743,24,5489,0.21157477985944934
744,6,6781,0.21150124653408392
745,14,222,0.21149033454733748
746,11,22,0.21146365709657686
747,14,6820,0.21144975855522422
748,5,3057,0.21139860959020676
749,9,6751,0.21130380350640135
750,17,3874,0.21130184461498033
751,22,8520,0.21128386482627956
752,5,98,0.21126889372148555
753,12,4305,0.21126431606823506
754,11,8942,0.2112525201087854
755,13,4820,0.21124759173718635
756,15,5936,0.21124730848856102
757,20,7608,0.21119706068583535
758,3,6934,0.21108065336145138
759,16,8337,0.21105186392884775
760,12,3836,0.21102659299801435
761,11,3645,0.21098279819638877
762,9,309,0.21098152270760923
763,16,7077,0.21097477571812898
764,11,6392,0.21085805435792918
765,19,1385,0.21080293852258308
766,12,3248,0.21074518164616965
767,1,7268,0.21071957383187886
768,20,8186,0.21070527596403724
769,6,7570,0.21068150414549888
770,24,2985,0.21064688637077392
771,7,6703,0.21055128123648228
772,5,8697,0.2104985690063219
773,18,6232,0.21049596447954158
774,8,6754,0.21047493775350676
775,18,1150,0.21046460199866576
776,9,3021,0.21044729446874405
777,17,5550,0.21035766689747432
778,15,2129,0.21032676985728263
779,21,7784,0.2102896769244279
780,17,3231,0.21024955610210536
781,11,7427,0.21019601472493712
782,12,4929,0.21019531590822338
783,13,3246,0.2101932549614548
784,20,4770,0.2101662293452225
785,15,92,0.21012271321621104
786,21,7575,0.21010729736723804
787,13,5849,0.21009526961050895
788,16,7004,0.21004579862956335
789,5,2059,0.21004062136845056
790,6,6619,0.21002723058521347
791,15,4631,0.21002238123639844
792,19,4864,0.21002089249016315
793,10,898,0.21001457556174175
794,8,4021,0.20998650951008394
795,6,5563,0.20998000055755509
796,16,3142,0.20997213433176695
797,19,5047,0.20994822861059367
798,24,4198,0.2098825110932225
799,0,2006,0.20986027326510207
800,11,4838,0.20983949869003066
801,14,6417,0.20979074017287663
802,3,8112,0.2097895797370786
803,11,4821,0.20977373750817155
804,11,7107,0.20967824457385342
805,5,8685,0.20966144661966007
806,21,2755,0.2096174942167998
807,10,2417,0.20960453194273312
808,14,5172,0.2095934918961356
809,14,7978,0.20957636266926305
810,14,5130,0.20956953988026814
811,16,6609,0.20955537765126314
812,24,6057,0.20955372282446894
813,21,1505,0.20954095801110073
814,11,5333,0.2094569074195646
815,11,7449,0.20944643829899126
816,22,5635,0.20937986681377702
817,25,598,0.20936483885015428
818,20,4068,0.20934727028370312
819,8,5518,0.20926889386047443
820,6,2552,0.20926050489885356
821,15,8029,0.20916756132226136
822,7,4729,0.20915261828300696
823,9,2078,0.20913602022526198
824,23,4097,0.209104709914151
825,19,2664,0.2090765528991095
826,19,776,0.20907385689665503
827,7,8639,0.20904369296553668
828,15,876,0.20899445752918042
829,10,7241,0.20896145450500722
830,7,807,0.20896065633158095
831,15,446,0.20893019880147876
832,8,7491,0.20891781576999183
833,21,4889,0.2088958530246373
834,12,856,0.20889103860303396
835,5,3369,0.20882681227475605
836,6,9176,0.20877916789380535
837,13,3499,0.2087672859152453
838,16,3196,0.2087645786443842
839,19,1302,0.20874390339013502
840,22,5630,0.2087410301874924
841,11,6154,0.20872865423842857
842,7,6485,0.20872078598370916
843,18,80,0.20870624419506612
844,16,1607,0.2086938861402265
845,10,8029,0.2086857158822811
846,9,8819,0.20868348493391917
847,10,2333,0.20862718342463094
848,10,6145,0.20859153217103432
849,7,7582,0.20857838956505734
850,21,8673,0.2084919088128535
851,15,6342,0.2084624547772131
852,12,5810,0.2084393379114521
853,12,7203,0.20835068691093211
854,8,1665,0.20828197772136492
855,14,2000,0.2082209554836965
856,2,3731,0.20821172346609224
857,8,5627,0.20815320510742422
858,2,7784,0.20809287666105067
859,25,7468,0.20808634244160776
860,5,4395,0.20808632455945966
861,20,1258,0.2080756343726075
862,18,4932,0.20805098054821275
863,19,6780,0.2080289949940245
864,9,7083,0.20802157469198324
865,13,778,0.20801736478999572
866,10,4211,0.20797573947467277
867,18,3844,0.20797154032651033
868,7,7782,0.20797016359092993
869,7,1065,0.2079598677924893
870,11,8877,0.20788158415586536
871,16,2101,0.20784536364223966
872,2,8116,0.2078396935139312
873,14,3841,0.2077976572959505
874,14,4307,0.20778486500197244
875,8,4155,0.20777565987161636
876,12,7098,0.20774201471242829
877,10,2740,0.2076579617427423
878,22,9176,0.20764666459794048
879,8,467,0.20754916342252594
880,10,8254,0.20754428886191925
881,7,8127,0.2075427023369526
882,7,5013,0.20752729333623118
883,6,5122,0.20751177990602815
884,22,360,0.20748220820258487
885,11,703,0.20743036358982772
886,10,473,0.207410974033909
887,15,661,0.20737045513816943
888,15,3923,0.2073382957318439
889,2,8655,0.20731957751261748
890,2,5826,0.20728536726788777
891,9,7420,0.20727627252796177
892,17,8057,0.20724219344451394
893,16,2029,0.20722633306967528
894,14,6662,0.207223329585374
895,8,6390,0.2071200087732759
896,15,8848,0.2071079782847454
897,8,6960,0.20709256493126793
898,10,850,0.20704319797655377
899,10,3313,0.20700730624853989
900,8,7394,0.2069784947173403
901,6,7051,0.2069150498702062
902,5,7012,0.20689416696546004
903,14,7256,0.2068557177670667
904,4,8346,0.20682593580434255
905,4,6357,0.20682367688958703
906,15,4962,0.20679809330660923
907,0,1579,0.20675692898705159
908,21,8745,0.2067429297107271
909,7,3639,0.20670284704487546
910,5,5232,0.20664862802748227
911,13,6166,0.20664618547097427
912,9,3713,0.2066245816674212
913,24,1271,0.20661715975037648
914,19,3029,0.20661126516628311
915,15,3922,0.20657919096036267
916,11,6291,0.20655726550631423
917,16,7462,0.2065032445569745
918,16,8023,0.20648130943251078
919,5,2665,0.20646234575091924
920,11,1532,0.2064578276513076
921,24,4568,0.20644796147712408
922,15,9197,0.20643774673294032
923,0,3717,0.2063925725753211
924,16,8298,0.20628615572684675
925,15,6346,0.20628132362952814
926,7,3667,0.20620630023304737
927,9,6787,0.20619843260180862
928,14,8071,0.20619798140326465
929,5,2217,0.20619753382483286
930,8,3537,0.20618770634608982
931,18,6619,0.2061208339609814
932,4,4526,0.20606736905361367
933,15,5886,0.20593657769407964
934,10,4179,0.20590366958749545
935,22,7908,0.20589338705894034
936,6,9115,0.20589121344943817
937,11,1751,0.20587363505817338
938,7,1478,0.20584896799196817
939,10,5388,0.20580733425947773
940,0,4574,0.20579851937863083
941,10,4368,0.20572357041951914
942,22,3870,0.20570395811641262
943,13,7602,0.2056617040494097
944,5,2258,0.20565728351783097
945,6,2335,0.20564687825362032
946,8,8124,0.20562766233595203
947,16,1505,0.2055733423841051
948,13,8833,0.20557213232597135
949,6,2574,0.20556606233302405
950,19,4816,0.20552602777591067
951,4,4744,0.20545777375297763
952,7,7525,0.2054056341620424
953,22,5263,0.20531667507472934
954,8,2590,0.20530376208079015
955,19,8108,0.20527752162069474
956,9,2872,0.20522604269154418
957,9,4374,0.2051926570755029
958,8,4086,0.20517716508476963
959,5,4701,0.20516799751225934
960,21,3146,0.20514049021329678
961,15,3644,0.20513208893680895
962,10,6821,0.2051214283229353
963,17,4403,0.20509549544822953
964,17,2858,0.2050612577457446
965,24,5680,0.20504387612285319
966,11,5577,0.20504265049319295
967,20,3918,0.20504209204490606
968,7,8891,0.20503727211958295
969,13,6874,0.20501360964489837
970,25,7602,0.2050121658389027
971,6,2908,0.20498947302103532
972,11,1114,0.2049328280204877
973,17,7338,0.2048920989052616
974,13,3218,0.20483334407064047
975,19,3732,0.20482987936144795
976,24,7299,0.20475407090582634
977,7,456,0.20474211944645
978,7,6723,0.20471183896423287
979,6,153,0.20468819126540092
980,14,941,0.2046687681896677
981,5,9135,0.20466694409711425
982,18,2651,0.20466055823164664
983,12,2075,0.2046533465636985
984,12,826,0.20463087811872216
985,9,6478,0.20458590394365586
986,11,1831,0.2045782060816515
987,9,5247,0.20454590400667355
988,15,8544,0.2045377767518008
989,21,1752,0.20452545883436699
990,12,7621,0.20451309748310817
991,11,4893,0.20448261053740324
992,10,5692,0.20443109635352597
993,16,5916,0.20441937758330186
994,13,7218,0.20439513201356466
995,11,9133,0.20438821310167465
996,9,4781,0.2043859896872265
997,9,4213,0.20437005125085617
998,0,6799,0.2043339692195142
999,16,294,0.20432840515166054
1000,12,648,0.20432357646008126
